18000,-4.3,-27.3,3.5,2.2,-39.3,-11.4,34.3
-4.3,18000,-3.7,26.3,-42.6,1.4,-36.1,11.6
-27.3,-3.7,18800,-6.1,-21.5,-15.2,7.3,6.4
3.5,26.3,-6.1,18650,24.5,19.1,6.8,8.2
2.2,-42.6,-21.5,24.5,19450,71.7,34,12.1
-39.3,1.4,-15.2,19.1,71.7,19050,-16,-35.6
-11.4,-36.1,7.3,6.8,34,-16,18550,4
34.3,11.6,6.4,8.2,12.1,-35.6,4,18050
