0,0.-188.86999999999995*I,0.+92.2*I,0,0.+188.86999999999995*I,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.-188.86999999999995*I,0.+1111.*I,0,0.+92.2*I,0,0.+188.86999999999995*I,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.+92.2*I,0,-0.962875989885795-1042.*I,0.+188.86999999999995*I,0,0,0.+188.86999999999995*I,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0.+50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.-50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.+92.2*I,0.+188.86999999999995*I,-0.962875989885795+69.*I,0,0,0,0.+188.86999999999995*I,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0.+50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.-50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0
0.+188.86999999999995*I,0,0,0,0.-1111.*I,0.-188.86999999999995*I,0.+92.2*I,0,0,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.+188.86999999999995*I,0,0,0.-188.86999999999995*I,0,0,0.+92.2*I,0,0,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.+188.86999999999995*I,0,0.+92.2*I,0,-0.962875989885795-2153.*I,0.+188.86999999999995*I,0,0,0,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0.+50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.-50.262130051616396*I,0,0,0,0,0,0,0,0,0
0,0,0,0.+188.86999999999995*I,0,0.+92.2*I,0.+188.86999999999995*I,-0.962875989885795-1042.*I,0,0,0,0,0,0,0,0.-92.2*I,0,0,0,0,0,0,0,0.+50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.-50.262130051616396*I,0,0,0,0,0,0,0,0
0.-92.2*I,0,0,0,0,0,0,0,-0.962875989885795+1042.*I,0.-188.86999999999995*I,0.+92.2*I,0,0.-188.86999999999995*I,0,0,0,0,0,0,0,0,0,0,0,0.-50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.+50.262130051616396*I,0,0,0,0,0,0,0
0,0.-92.2*I,0,0,0,0,0,0,0.-188.86999999999995*I,-0.962875989885795+2153.*I,0,0.+92.2*I,0,0.-188.86999999999995*I,0,0,0,0,0,0,0,0,0,0,0,0.-50.262130051616396*I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.+50.262130051616396*I,0,0,0,0,0,0
